WORD,YEAR,MONTH,VOLUME,AVR_IN_YEAR
ssd,2023,1,1500000,1500000
ssd,2022,12,1500000,1500000
ssd,2022,11,1500000,1500000
ssd,2022,10,1220000,1500000
ssd,2022,9,1220000,1500000
ssd,2022,8,1220000,1500000
ssd,2022,7,1220000,1500000
ssd,2022,6,1220000,1500000
ssd,2022,5,1220000,1500000
ssd,2022,4,1220000,1500000
ssd,2022,3,1830000,1500000
ssd,2022,2,1830000,1500000
ssd,2022,1,1500000,1500000
ssd,2021,12,1500000,1500000
ssd,2021,11,1500000,1500000
ssd,2021,10,1500000,1500000
ssd,2021,9,1500000,1500000
ssd,2021,8,1220000,1500000
ssd,2021,7,1220000,1500000
ssd,2021,6,1220000,1500000
ssd,2021,5,1500000,1500000
ssd,2021,4,1500000,1500000
ssd,2021,3,1500000,1500000
ssd,2021,2,1500000,1500000
ssd,2021,1,1500000,1500000
ssd,2020,12,1500000,1500000
ssd,2020,11,1830000,1500000
ssd,2020,10,1500000,1500000
ssd,2020,9,1500000,1500000
ssd,2020,8,1500000,1500000
ssd,2020,7,1500000,1500000
ssd,2020,6,1500000,1500000
ssd,2020,5,1830000,1500000
ssd,2020,4,1500000,1500000
ssd,2020,3,1220000,1500000
ssd,2020,2,1000000,1500000
ssd,2020,1,1220000,1500000
